Neighborhood,Average Response Time,Name
56,47.7304450107822,Garfield Ridge
28,27.035550799595743,Near West Side
29,40.46312266700991,North Lawndale
60,40.126187761307484,Bridgeport
61,36.07854938271605,New City
62,26.31084610456808,West Elsdon
63,32.009177753326,Gage Park
64,39.0759027266028,Clearing
65,29.031777895613967,West Lawn
66,46.227687702668995,Chicago Lawn
67,54.44973211471793,West Englewood
68,51.17010478061559,Englewood
69,61.885523227492136,Greater Grand Crossing
52,39.04130725957675,East Side
53,61.729075435842354,West Pullman
23,40.01109926460538,Humboldt Park
24,28.559318148103195,West Town
25,54.77642116318761,Austin
26,43.88838149423567,West Garfield Park
27,41.34334763948498,East Garfield Park
20,28.002764868521677,Belmont Cragin
21,28.486572779249066,Avondale
22,37.13001891233656,Logan Square
49,60.05402560455192,Roseland
46,55.774763436349225,South Chicago
47,83.32869080779945,Burnside
44,66.86451236130037,Chatham
45,80.64513244663016,Avalon Park
42,45.20264818454536,Woodlawn
43,52.40861384068576,South Shore
40,36.51774033696729,Washington Square
41,44.487924482039965,Hyde Park
1,36.784450633507234,Rogers Park
3,34.09498353042821,Uptown
2,45.43344679916548,West Ridge
5,52.06534384925592,North Center
4,52.85318398370731,Lincoln Square
7,43.12214741628049,Lincoln Park
6,48.732890842228,Lake View
9,84.28734917278268,Edison Park
8,21.957964109186445,Near North Side
18,54.72202438761196,Montclaire
58,24.67817947722303,Brighton Park
39,42.39432875498449,Kenwood
77,49.11080843585237,Edgewater
76,55.36272932088832,O'Hare
75,56.92639620653319,Morgan Park
12,75.75289007684597,Forest Glen
73,68.48872081262917,Washington Height
72,50.49774107359728,Beverly
71,70.51785508913169,Auburn Gresham
70,58.919123418417,Ashburn
15,55.49517886212798,Portage Park
14,45.15932539048775,Albany Park
11,68.82775282815076,Jefferson Park
10,78.636031960305,Norwood Park
13,48.23653934652554,North Park
38,35.99770048864616,Grand Boulevard
59,20.60319516407599,Mckinley Park
48,78.15123685379943,Calument Heights
17,71.15760337552743,Dunning
16,41.36381568244672,Irving Park
19,31.07730137031974,Belmont Cragin
54,57.21113074204947,Riverdale
57,17.17543859649123,Archer Heights
30,23.109385859840586,South Lawndale
51,52.85129484758565,South Deering
36,27.901673640167363,Oakland
35,28.1878591954023,Douglas
34,31.05217391304348,Armour Square
33,22.593741189737806,Near South Side
55,60.3640265854334,Hegewisch
74,64.86238377007608,Mount Greenwood
37,33.944048467569495,Fuller Park
32,14.156294277929156,Loop
31,13.66806433578463,Lower West Side
50,63.69335705812574,Pullman